description,fraudulent
"Urgently hiring remote data entry clerks. No experience required. Weekly payments, flexible hours, and training included. Contact us on a private messaging app to start immediately.",1
"Software engineer needed to build internal web applications using Python and React. Candidates should have three years of experience and strong communication skills.",0
"Earn thousands of dollars from home by processing simple forms. Limited positions available. You must pay a registration fee before receiving your starter package.",1
"Marketing coordinator required for a retail company. Responsibilities include campaign reporting, social media coordination, and collaboration with the design team.",0
"International company seeks personal assistant to manage confidential transfers. Fast hiring and guaranteed commissions. Banking details will be requested during onboarding.",1
"We are looking for a customer support specialist to answer client inquiries, document issues, and work with the product team to improve service quality.",0
"Exclusive online opportunity for students. Immediate acceptance, no interview, and very high salary for simple copy-paste work. Send your passport copy today.",1
"Accountant position available for a logistics firm. Applicants should understand invoices, monthly closing, budgeting, and standard accounting software.",0
"Global recruitment partner offering easy online jobs with instant approval. Applicants are promised luxury benefits and asked to share identity documents early.",1
"Human resources officer needed to assist with onboarding, payroll coordination, attendance tracking, and employee support across departments.",0
"Work from anywhere and receive large payments for reshipping packages. No formal contract required and no background checks needed.",1
"Administrative assistant role in an education center. Tasks include scheduling, filing, responding to email, and supporting office operations.",0
"Simple typing job with guaranteed earnings. Employers request an advance security deposit and promise a refund after one month.",1
"Data analyst required to clean datasets, build reports, and communicate insights to management using Excel and SQL.",0
"High-paying recruitment agent role with immediate onboarding. Applicants are asked to use personal bank accounts to handle client funds.",1
"Operations executive needed to coordinate staff schedules, prepare reports, and improve daily workflow efficiency.",0
